2025-08-06 22:24:24 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 500 candles for USDJPY
2025-08-06 22:24:24 | INFO     | data_service.data_fetcher:get_multi_timeframe_data:286 | Data quality for USDJPY H4: 0.59
2025-08-06 22:24:24 | INFO     | __main__:_test_multi_timeframe_fetching:241 |   Multi-TF: 1500 total candles in 0.09s
2025-08-06 22:24:24 | SUCCESS  | __main__:_test_multi_timeframe_fetching:251 | Multi-timeframe tests completed
2025-08-06 22:24:24 | INFO     | __main__:_test_data_validation:256 | Testing data validation...
2025-08-06 22:24:24 | INFO     | __main__:_test_data_validation:262 | Validating data for EURUSD
2025-08-06 22:24:24 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 100 candles for EURUSD
2025-08-06 22:24:24 | INFO     | __main__:_test_data_validation:288 |   EURUSD: Valid=True, Quality=0.950
2025-08-06 22:24:24 | INFO     | __main__:_test_data_validation:262 | Validating data for GBPUSD
2025-08-06 22:24:24 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 100 candles for GBPUSD
2025-08-06 22:24:24 | INFO     | __main__:_test_data_validation:288 |   GBPUSD: Valid=True, Quality=1.000
2025-08-06 22:24:24 | INFO     | __main__:_test_data_validation:299 | Testing validation with invalid data...
2025-08-06 22:24:24 | INFO     | __main__:_test_data_validation:322 | Invalid data test: Errors=2, Quality=0.490
2025-08-06 22:24:24 | SUCCESS  | __main__:_test_data_validation:328 | Data validation tests completed
2025-08-06 22:24:24 | INFO     | __main__:_test_data_preprocessing:333 | Testing data preprocessing...
2025-08-06 22:24:24 | INFO     | __main__:_test_data_preprocessing:338 | Testing preprocessing for EURUSD
2025-08-06 22:24:24 | INFO     | data_service.data_fetcher:fetch_data_with_retry:181 | Successfully fetched 200 candles for EURUSD
2025-08-06 22:24:24 | INFO     | data_service.data_preprocessor:preprocess_data:36 | Preprocessing 200 candles for EURUSD
2025-08-06 22:24:24 | INFO     | data_service.data_preprocessor:preprocess_data:47 | Preprocessing completed - 200 candles output
2025-08-06 22:24:24 | INFO     | __main__:_test_data_preprocessing:372 |   EURUSD: 200/200 candles retained, indicators added: True
2025-08-06 22:24:24 | INFO     | __main__:_test_data_preprocessing:338 | Testing preprocessing for GBPUSD
